filepath,filename,room_type,scan_type,trial_number,num_rows,folder
meta_scan_csvs\cleaned\blinds\blinds_1_cleaned.csv,blinds_1_cleaned.csv,blinds,base,1,2184,blinds
meta_scan_csvs\cleaned\blinds\blinds_2_cleaned.csv,blinds_2_cleaned.csv,blinds,base,2,2060,blinds
meta_scan_csvs\cleaned\blinds\blinds_3_cleaned.csv,blinds_3_cleaned.csv,blinds,base,3,1919,blinds
meta_scan_csvs\cleaned\blinds\blinds_4_cleaned.csv,blinds_4_cleaned.csv,blinds,base,4,449,blinds
meta_scan_csvs\cleaned\blinds\blinds_5_cleaned.csv,blinds_5_cleaned.csv,blinds,base,5,427,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_1_cleaned.csv,blinds_motion_1_cleaned.csv,blinds,motion,1,2004,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_2_cleaned.csv,blinds_motion_2_cleaned.csv,blinds,motion,2,452,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_3_cleaned.csv,blinds_motion_3_cleaned.csv,blinds,motion,3,464,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_4_cleaned.csv,blinds_motion_4_cleaned.csv,blinds,motion,4,436,blinds
meta_scan_csvs\cleaned\blinds\blinds_motion_5_cleaned.csv,blinds_motion_5_cleaned.csv,blinds,motion,5,477,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_1_cleaned.csv,blinds_object_1_cleaned.csv,blinds,object,1,2044,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_2_cleaned.csv,blinds_object_2_cleaned.csv,blinds,object,2,443,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_3_cleaned.csv,blinds_object_3_cleaned.csv,blinds,object,3,443,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_4_cleaned.csv,blinds_object_4_cleaned.csv,blinds,object,4,455,blinds
meta_scan_csvs\cleaned\blinds\blinds_object_5_cleaned.csv,blinds_object_5_cleaned.csv,blinds,object,5,2036,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_1_cleaned.csv,blinds_person_1_cleaned.csv,blinds,person,1,466,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_2_cleaned.csv,blinds_person_2_cleaned.csv,blinds,person,2,446,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_3_cleaned.csv,blinds_person_3_cleaned.csv,blinds,person,3,477,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_4_cleaned.csv,blinds_person_4_cleaned.csv,blinds,person,4,482,blinds
meta_scan_csvs\cleaned\blinds\blinds_person_5_cleaned.csv,blinds_person_5_cleaned.csv,blinds,person,5,449,blinds
meta_scan_csvs\cleaned\blinds_up\blinds_up_1_cleaned.csv,blinds_up_1_cleaned.csv,blinds_up,base,1,103,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_2_cleaned.csv,blinds_up_2_cleaned.csv,blinds_up,base,2,1775,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_3_cleaned.csv,blinds_up_3_cleaned.csv,blinds_up,base,3,1795,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_4_cleaned.csv,blinds_up_4_cleaned.csv,blinds_up,base,4,1798,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_5_cleaned.csv,blinds_up_5_cleaned.csv,blinds_up,base,5,101,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_1_cleaned.csv,blinds_up_motion_1_cleaned.csv,blinds_up,motion,1,467,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_2_cleaned.csv,blinds_up_motion_2_cleaned.csv,blinds_up,motion,2,2094,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_3_cleaned.csv,blinds_up_motion_3_cleaned.csv,blinds_up,motion,3,472,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_4_cleaned.csv,blinds_up_motion_4_cleaned.csv,blinds_up,motion,4,2005,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_motion_5_cleaned.csv,blinds_up_motion_5_cleaned.csv,blinds_up,motion,5,2109,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_1_cleaned.csv,blinds_up_object_1_cleaned.csv,blinds_up,object,1,1946,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_2_cleaned.csv,blinds_up_object_2_cleaned.csv,blinds_up,object,2,1981,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_3_cleaned.csv,blinds_up_object_3_cleaned.csv,blinds_up,object,3,2013,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_4_cleaned.csv,blinds_up_object_4_cleaned.csv,blinds_up,object,4,473,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_object_5_cleaned.csv,blinds_up_object_5_cleaned.csv,blinds_up,object,5,2079,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_1_cleaned.csv,blinds_up_person_1_cleaned.csv,blinds_up,person,1,2042,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_2_cleaned.csv,blinds_up_person_2_cleaned.csv,blinds_up,person,2,1979,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_3_cleaned.csv,blinds_up_person_3_cleaned.csv,blinds_up,person,3,493,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_4_cleaned.csv,blinds_up_person_4_cleaned.csv,blinds_up,person,4,425,blinds_up
meta_scan_csvs\cleaned\blinds_up\blinds_up_person_5_cleaned.csv,blinds_up_person_5_cleaned.csv,blinds_up,person,5,461,blinds_up
meta_scan_csvs\cleaned\hallway\hallway_1_cleaned.csv,hallway_1_cleaned.csv,hallway,base,1,409,hallway
meta_scan_csvs\cleaned\hallway\hallway_2_cleaned.csv,hallway_2_cleaned.csv,hallway,base,2,407,hallway
meta_scan_csvs\cleaned\hallway\hallway_3_cleaned.csv,hallway_3_cleaned.csv,hallway,base,3,457,hallway
meta_scan_csvs\cleaned\hallway\hallway_4_cleaned.csv,hallway_4_cleaned.csv,hallway,base,4,438,hallway
meta_scan_csvs\cleaned\hallway\hallway_5_cleaned.csv,hallway_5_cleaned.csv,hallway,base,5,1981,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_1_cleaned.csv,hallway_motion_1_cleaned.csv,hallway,motion,1,467,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_2_cleaned.csv,hallway_motion_2_cleaned.csv,hallway,motion,2,482,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_3_cleaned.csv,hallway_motion_3_cleaned.csv,hallway,motion,3,449,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_4_cleaned.csv,hallway_motion_4_cleaned.csv,hallway,motion,4,1981,hallway
meta_scan_csvs\cleaned\hallway\hallway_motion_5_cleaned.csv,hallway_motion_5_cleaned.csv,hallway,motion,5,458,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_1_cleaned.csv,hallway_object_1_cleaned.csv,hallway,object,1,2724,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_2_cleaned.csv,hallway_object_2_cleaned.csv,hallway,object,2,1931,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_3_cleaned.csv,hallway_object_3_cleaned.csv,hallway,object,3,1953,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_4_cleaned.csv,hallway_object_4_cleaned.csv,hallway,object,4,457,hallway
meta_scan_csvs\cleaned\hallway\hallway_object_5_cleaned.csv,hallway_object_5_cleaned.csv,hallway,object,5,455,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_1_cleaned.csv,hallway_person_1_cleaned.csv,hallway,person,1,452,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_2_cleaned.csv,hallway_person_2_cleaned.csv,hallway,person,2,1996,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_3_cleaned.csv,hallway_person_3_cleaned.csv,hallway,person,3,495,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_4_cleaned.csv,hallway_person_4_cleaned.csv,hallway,person,4,2129,hallway
meta_scan_csvs\cleaned\hallway\hallway_person_5_cleaned.csv,hallway_person_5_cleaned.csv,hallway,person,5,1974,hallway
meta_scan_csvs\cleaned\kitchen\kitchen_10_cleaned.csv,kitchen_10_cleaned.csv,kitchen,base,10,2190,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_1_cleaned.csv,kitchen_1_cleaned.csv,kitchen,base,1,439,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_2_cleaned.csv,kitchen_2_cleaned.csv,kitchen,base,2,447,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_3_cleaned.csv,kitchen_3_cleaned.csv,kitchen,base,3,485,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_4_cleaned.csv,kitchen_4_cleaned.csv,kitchen,base,4,1874,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_5_cleaned.csv,kitchen_5_cleaned.csv,kitchen,base,5,1923,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_6_cleaned.csv,kitchen_6_cleaned.csv,kitchen,base,6,401,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_7_cleaned.csv,kitchen_7_cleaned.csv,kitchen,base,7,1974,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_8_cleaned.csv,kitchen_8_cleaned.csv,kitchen,base,8,451,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_9_cleaned.csv,kitchen_9_cleaned.csv,kitchen,base,9,2108,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_1_cleaned.csv,kitchen_motion_1_cleaned.csv,kitchen,motion,1,417,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_2_cleaned.csv,kitchen_motion_2_cleaned.csv,kitchen,motion,2,1899,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_3_cleaned.csv,kitchen_motion_3_cleaned.csv,kitchen,motion,3,1937,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_4_cleaned.csv,kitchen_motion_4_cleaned.csv,kitchen,motion,4,443,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_motion_5_cleaned.csv,kitchen_motion_5_cleaned.csv,kitchen,motion,5,497,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_1_cleaned.csv,kitchen_object_1_cleaned.csv,kitchen,object,1,2005,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_2_cleaned.csv,kitchen_object_2_cleaned.csv,kitchen,object,2,426,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_3_cleaned.csv,kitchen_object_3_cleaned.csv,kitchen,object,3,2015,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_4_cleaned.csv,kitchen_object_4_cleaned.csv,kitchen,object,4,1997,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_object_5_cleaned.csv,kitchen_object_5_cleaned.csv,kitchen,object,5,476,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_person_1_cleaned.csv,kitchen_person_1_cleaned.csv,kitchen,person,1,2133,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_person_2_cleaned.csv,kitchen_person_2_cleaned.csv,kitchen,person,2,501,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_person_3_cleaned.csv,kitchen_person_3_cleaned.csv,kitchen,person,3,1917,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_person_4_cleaned.csv,kitchen_person_4_cleaned.csv,kitchen,person,4,477,kitchen
meta_scan_csvs\cleaned\kitchen\kitchen_person_5_cleaned.csv,kitchen_person_5_cleaned.csv,kitchen,person,5,412,kitchen
meta_scan_csvs\cleaned\lab\lab_1_cleaned.csv,lab_1_cleaned.csv,lab,base,1,1925,lab
meta_scan_csvs\cleaned\lab\lab_2_cleaned.csv,lab_2_cleaned.csv,lab,base,2,438,lab
meta_scan_csvs\cleaned\lab\lab_3_cleaned.csv,lab_3_cleaned.csv,lab,base,3,474,lab
meta_scan_csvs\cleaned\lab\lab_4_cleaned.csv,lab_4_cleaned.csv,lab,base,4,471,lab
meta_scan_csvs\cleaned\lab\lab_5_cleaned.csv,lab_5_cleaned.csv,lab,base,5,1980,lab
meta_scan_csvs\cleaned\lab\lab_motion_1_cleaned.csv,lab_motion_1_cleaned.csv,lab,motion,1,423,lab
meta_scan_csvs\cleaned\lab\lab_motion_2_cleaned.csv,lab_motion_2_cleaned.csv,lab,motion,2,453,lab
meta_scan_csvs\cleaned\lab\lab_motion_3_cleaned.csv,lab_motion_3_cleaned.csv,lab,motion,3,479,lab
meta_scan_csvs\cleaned\lab\lab_motion_4_cleaned.csv,lab_motion_4_cleaned.csv,lab,motion,4,455,lab
meta_scan_csvs\cleaned\lab\lab_motion_5_cleaned.csv,lab_motion_5_cleaned.csv,lab,motion,5,2028,lab
meta_scan_csvs\cleaned\lab\lab_object_1_cleaned.csv,lab_object_1_cleaned.csv,lab,object,1,2046,lab
meta_scan_csvs\cleaned\lab\lab_object_2_cleaned.csv,lab_object_2_cleaned.csv,lab,object,2,1970,lab
meta_scan_csvs\cleaned\lab\lab_object_3_cleaned.csv,lab_object_3_cleaned.csv,lab,object,3,469,lab
meta_scan_csvs\cleaned\lab\lab_object_4_cleaned.csv,lab_object_4_cleaned.csv,lab,object,4,392,lab
meta_scan_csvs\cleaned\lab\lab_object_5_cleaned.csv,lab_object_5_cleaned.csv,lab,object,5,447,lab
meta_scan_csvs\cleaned\lab\lab_person_1_cleaned.csv,lab_person_1_cleaned.csv,lab,person,1,440,lab
meta_scan_csvs\cleaned\lab\lab_person_2_cleaned.csv,lab_person_2_cleaned.csv,lab,person,2,2179,lab
meta_scan_csvs\cleaned\lab\lab_person_3_cleaned.csv,lab_person_3_cleaned.csv,lab,person,3,434,lab
meta_scan_csvs\cleaned\lab\lab_person_4_cleaned.csv,lab_person_4_cleaned.csv,lab,person,4,378,lab
meta_scan_csvs\cleaned\lab\lab_person_5_cleaned.csv,lab_person_5_cleaned.csv,lab,person,5,471,lab
