room,filename,gpu_util_diff_first_last,Avg Preemption Delay_std,gpu_util_iqr,Avg Preemption Delay_p75,gpu_util_std,Avg Preemption Delay_p90,gpu_util_first,gpu_util_cv,gpu_util_range,display_refresh_rate_num_changes,display_refresh_rate_diff_first_last,display_refresh_rate_first
kitchen,kitchen_10_cleaned.csv,53.645652532577515,28.49325778714089,31.65929913520813,53.5890007019043,17.36405712503116,65.22467803955078,25.19127130508423,0.30742730917873434,55.07330894470215,2,-18.0,90.0
kitchen,kitchen_1_cleaned.csv,47.003725171089165,29.19185375476259,39.881330728530884,59.49296951293945,19.674542108443635,68.90947723388672,28.61271798610688,0.37444691309331396,52.165430784225464,2,-18.0,90.0
kitchen,kitchen_2_cleaned.csv,45.306211709976196,28.999004619881376,41.89346730709076,57.888858795166016,20.04851484066668,68.88713836669922,30.81729412078857,0.3935424905564347,52.63967216014862,2,-18.0,90.0
kitchen,kitchen_3_cleaned.csv,44.78873014450073,29.890183217787484,40.61547517776489,61.76354598999024,19.70688730706151,70.33016891479492,31.470835208892822,0.3700711562711118,44.97411251068115,2,-18.0,90.0
kitchen,kitchen_4_cleaned.csv,44.683182239532464,28.53995911127948,40.41023850440979,54.58945083618164,18.738160799575272,67.2057113647461,30.83662390708924,0.3726343905787828,44.78200674057006,2,-18.0,90.0
kitchen,kitchen_6_cleaned.csv,43.71694624423981,29.90797403019682,12.383024394512177,82.36517143249512,11.889829710418896,98.169873046875,40.96246659755707,0.18711801160343022,43.71694624423981,2,-18.0,90.0
kitchen,kitchen_9_cleaned.csv,55.24313300848007,34.16038948232966,34.69097316265106,49.26675415039063,17.309968337616358,57.18960952758789,24.57893043756485,0.31223490133903475,55.2698478102684,2,-18.0,90.0
kitchen,kitchen_motion_1_cleaned.csv,57.43812471628189,32.324642423826845,44.63701248168945,58.966121673583984,22.471907877301376,78.41744689941407,21.23887985944748,0.44374722857798976,59.55851823091507,4,0.0,72.0
kitchen,kitchen_motion_2_cleaned.csv,55.722975730895996,31.814090777480455,44.81748938560486,54.49185562133789,22.820670096832288,74.72364044189453,26.687341928482056,0.46896819031812564,59.63805466890335,2,-18.0,90.0
kitchen,kitchen_motion_3_cleaned.csv,51.26271694898605,27.760483835844035,43.09629201889038,54.724308013916016,21.380240858491014,63.78200912475586,22.73617535829544,0.4560184829397769,55.05804866552353,4,0.0,72.0
kitchen,kitchen_motion_4_cleaned.csv,49.336835741996765,28.815200938105445,47.18093574047089,56.50771427154541,23.2304158219543,68.29800186157227,20.50751745700836,0.45193712917481044,60.46140491962433,4,0.0,72.0
kitchen,kitchen_motion_5_cleaned.csv,50.21097809076309,27.464109552693156,46.63850665092468,56.4225959777832,23.608233346108705,73.33461761474611,20.499370992183685,0.4604869437560505,62.08839565515518,4,0.0,72.0
kitchen,kitchen_object_1_cleaned.csv,49.888256192207336,30.492159835195235,44.04555261135102,62.987422943115234,21.360503241172907,70.86522674560547,26.05755627155304,0.43917256506237895,52.608029544353485,2,-18.0,90.0
kitchen,kitchen_object_2_cleaned.csv,56.147190928459175,30.51099970401992,43.984976410865784,61.49236679077149,21.68467657694595,68.35606384277344,19.73368823528289,0.42882619579319775,56.163904070854194,4,0.0,72.0
kitchen,kitchen_object_3_cleaned.csv,55.635485053062446,27.900388758116133,43.548065423965454,60.53807067871094,21.557195679926505,69.6802978515625,20.76402604579925,0.4475718749959923,55.718663334846504,4,0.0,72.0
kitchen,kitchen_object_4_cleaned.csv,57.179251313209534,30.337594572803102,45.97121477127075,61.22844696044922,21.947303156211163,69.27735137939453,19.33070719242096,0.4720966546746182,57.37271010875702,4,0.0,72.0
kitchen,kitchen_object_5_cleaned.csv,55.30530363321304,29.824097606284614,47.664397954940796,61.58168315887451,22.915990723095366,73.75498352050782,21.514420211315155,0.4737830534606622,56.448423862457275,4,0.0,72.0
kitchen,kitchen_person_2_cleaned.csv,55.64880520105362,33.81473755874943,46.28404676914215,70.29034042358398,22.660620330174726,79.09921569824219,22.505490481853485,0.42417191442290764,55.82011491060257,2,-18.0,90.0
kitchen,kitchen_person_3_cleaned.csv,57.5360506772995,32.754936453561875,46.47665172815322,55.79720687866211,22.452533619794504,78.47710418701172,19.8740154504776,0.4708775878151648,58.18755328655243,4,0.0,72.0
kitchen,kitchen_person_4_cleaned.csv,57.053083181381226,29.985694788630532,45.98176181316376,56.81727600097656,22.621614565545276,69.21585617065429,20.871078968048096,0.4495530471638716,57.053083181381226,4,0.0,72.0
kitchen,kitchen_person_5_cleaned.csv,58.171215653419495,32.03387904520334,49.26864504814148,64.9832706451416,23.667789040172863,76.19944076538087,19.85444724559784,0.45941069693893544,58.171215653419495,4,0.0,72.0
hallway,hallway_1_cleaned.csv,31.077840924263,20.309384658357764,34.30749475955963,45.13198947906494,15.900188246001079,48.88014755249024,37.3372882604599,0.32220558495109686,34.51293408870697,2,-18.0,90.0
hallway,hallway_2_cleaned.csv,33.56763422489166,21.51255053726366,37.80938982963562,46.58457565307617,17.39133439312108,49.3355079650879,35.67338287830353,0.35919107998538374,42.96961724758148,2,-18.0,90.0
hallway,hallway_3_cleaned.csv,30.869585275650024,21.022455143614867,32.316505908966064,46.31958484649658,15.85704889113174,48.68571853637695,37.38710880279541,0.31480615348127555,40.51212966442108,2,-18.0,90.0
hallway,hallway_4_cleaned.csv,31.222906708717346,19.51819485795959,35.46092510223389,45.82283020019531,16.701718620964133,47.696667480468754,37.19676434993744,0.34107261096721914,40.51129221916199,2,-18.0,90.0
hallway,hallway_5_cleaned.csv,32.47217833995819,20.292088568628497,31.833824515342712,45.44548797607422,15.861045789718403,49.31669235229492,36.81906759738922,0.3224984644001173,45.871464908123016,2,-18.0,90.0
hallway,hallway_motion_1_cleaned.csv,32.563239336013794,21.362225769759725,33.66810381412506,47.06035232543945,16.29266658793436,50.38639068603515,38.067322969436646,0.31051047122961056,35.822004079818726,2,-18.0,90.0
hallway,hallway_motion_2_cleaned.csv,33.654338121414185,18.91793156903006,33.3590030670166,46.18294525146485,17.350554954327016,49.91781082153321,36.34399771690369,0.3259070373807354,44.16340887546539,2,-18.0,90.0
hallway,hallway_motion_3_cleaned.csv,30.88105320930481,22.324167157381464,32.887193560600274,46.63138961791992,16.56374197993485,50.73386764526367,38.61528038978577,0.3278552138565787,47.763706743717194,2,-18.0,90.0
hallway,hallway_motion_4_cleaned.csv,32.13091492652893,21.352043183680113,32.262635231018066,45.43291473388672,15.553431950925942,48.45839309692383,36.3944947719574,0.3233112956641228,42.92990863323212,2,-18.0,90.0
hallway,hallway_motion_5_cleaned.csv,33.7159126996994,20.768435636731127,31.754896044731147,46.164061546325684,15.408156508537484,50.06894378662109,35.4746550321579,0.30191114309698763,34.4186395406723,2,-18.0,90.0
hallway,hallway_object_1_cleaned.csv,34.26195979118347,22.90175214907588,32.972851395606995,45.529144287109375,15.887363069248613,51.460147857666016,35.82778573036194,0.3374638440992091,46.621258556842804,2,-18.0,90.0
hallway,hallway_object_2_cleaned.csv,34.28857624530792,22.732648249220908,34.98111963272095,47.53315353393555,16.365053780916327,52.35116195678711,35.94506084918976,0.33823161989562534,35.582202672958374,2,-18.0,90.0
hallway,hallway_object_3_cleaned.csv,34.25552248954773,21.338997278732094,34.285905957221985,45.78673553466797,15.990956600421587,50.77633666992188,35.62289476394653,0.334663751118674,34.959229826927185,2,-18.0,90.0
hallway,hallway_object_4_cleaned.csv,35.07324159145355,21.629348485524606,32.99047350883484,45.7924509048462,15.990791825489461,51.13721771240235,34.45872962474823,0.32150915320627893,36.35478913784027,2,-18.0,90.0
hallway,hallway_object_5_cleaned.csv,34.86467897891998,23.183043825929612,33.40291082859039,48.95075607299805,16.944565037504226,53.316396713256836,35.52928268909454,0.3322993890248603,46.36784940958023,2,-18.0,90.0
hallway,hallway_person_1_cleaned.csv,32.815489172935486,20.057512977677845,31.052616238594055,45.56261920928955,15.717739538098831,48.252371978759776,35.673788189888,0.3038150670186705,41.98383986949921,2,-18.0,90.0
hallway,hallway_person_2_cleaned.csv,35.40148735046387,20.108359049520228,30.39851486682892,44.91864013671875,15.098360228051497,48.83807373046875,33.79750847816467,0.312307171598883,43.50900948047638,2,-18.0,90.0
hallway,hallway_person_3_cleaned.csv,31.476259231567383,20.773822215980772,32.98024237155914,47.243797302246094,16.570380362725256,49.432725524902345,35.61452627182007,0.316821347155883,45.12946009635925,2,-18.0,90.0
hallway,hallway_person_4_cleaned.csv,34.727901220321655,20.266889591066576,36.45492494106293,44.29122924804688,16.871214366823107,47.818876647949224,33.86237025260925,0.3593272936592076,45.86617201566696,2,-18.0,90.0
hallway,hallway_person_5_cleaned.csv,34.686073660850525,21.111413095435676,32.55526125431061,45.37211608886719,15.378114033308812,48.82002868652344,34.910282492637634,0.3236500913722007,38.65529000759125,2,-18.0,90.0
lab,lab_1_cleaned.csv,51.54385566711426,33.66664161076487,47.55425453186035,66.30460357666016,22.97367274174995,74.02478790283203,34.13175940513611,0.4416760567440603,62.100741267204285,2,-18.0,90.0
lab,lab_2_cleaned.csv,50.18534958362579,32.88083229753424,53.93248200416565,69.14961242675781,24.952976500871884,74.46228790283203,34.74515974521637,0.45904523145073084,59.33193564414978,2,-18.0,90.0
lab,lab_3_cleaned.csv,49.82628524303436,30.72360901076874,45.91698050498963,65.17947387695312,22.881037017660084,74.17397766113281,33.583804965019226,0.4159968105791928,59.51230525970459,2,-18.0,90.0
lab,lab_4_cleaned.csv,48.0655699968338,32.8183913836542,48.80995750427246,67.33052062988281,23.21273029234782,75.49569473266602,34.15801227092743,0.4357560669971479,59.30890738964081,2,-18.0,90.0
lab,lab_5_cleaned.csv,46.48096561431885,67.99860983994546,43.2289183139801,178.85777282714844,19.16709968731776,178.85777282714844,35.53361892700195,0.3493089329707188,58.361974358558655,2,-18.0,90.0
lab,lab_motion_1_cleaned.csv,49.66273903846741,34.380736699744354,48.20943474769592,69.74243354797363,23.93560225646617,81.96743316650391,35.230207443237305,0.45009875842768615,64.96737897396088,2,-18.0,90.0
lab,lab_motion_2_cleaned.csv,51.456061005592346,37.29504542120701,48.45389127731323,73.35105895996094,24.009802136324673,93.61521453857426,35.28111279010773,0.4051263263760971,65.53200483322144,2,-18.0,90.0
lab,lab_motion_3_cleaned.csv,58.52539241313934,35.25040964618058,53.46377789974213,68.86859703063965,26.053994343022524,81.54496765136719,33.44389498233795,0.4628714953677389,68.40594708919525,2,-18.0,90.0
lab,lab_motion_4_cleaned.csv,56.35210871696471,44.01347435950975,51.548558473587036,86.89361953735352,26.219047322064757,104.68126144409182,33.91468524932861,0.4523435935552355,69.01295632123946,2,-18.0,90.0
lab,lab_motion_5_cleaned.csv,49.53824579715729,33.715309323163254,49.942219257354736,69.21025085449219,24.93036940415993,78.21183776855469,36.79492175579071,0.4620488982562942,69.00128722190857,2,-18.0,90.0
lab,lab_object_1_cleaned.csv,50.45576989650726,36.99715330551945,47.11771607398987,75.70808410644531,23.29410020907,90.699951171875,33.09307396411896,0.4205844718862736,61.59416139125824,2,-18.0,90.0
lab,lab_object_2_cleaned.csv,53.556075692176826,39.406073160909884,48.02877902984619,64.65878295898438,23.217296052343958,97.44757080078124,31.49177134037017,0.4346360727096662,57.610708475112915,2,-18.0,90.0
lab,lab_object_3_cleaned.csv,51.920872926712036,38.48338518100421,47.91138768196106,76.27075958251953,24.060018881655733,95.07125854492188,31.62549734115601,0.4240802311633801,61.535146832466125,2,-18.0,90.0
lab,lab_object_4_cleaned.csv,50.57816505432129,38.71027894488879,47.49588668346405,72.32958221435547,23.345690730049736,99.4665008544922,33.826446533203125,0.41605366602977545,60.94799488782883,2,-18.0,90.0
lab,lab_object_5_cleaned.csv,49.38044548034668,36.98717421247827,47.73564338684082,65.85371017456055,23.124092468474764,93.18828582763672,33.72633457183838,0.42229466656676257,59.19971317052841,2,-18.0,90.0
lab,lab_person_1_cleaned.csv,45.20001411437988,56.765390816462066,44.61798965930939,89.11124420166016,22.746426585384274,164.74142456054688,35.786473751068115,0.38820733380882433,61.541859805583954,2,-18.0,90.0
lab,lab_person_2_cleaned.csv,57.220482826232896,62.120087573332256,54.67802584171296,63.463523864746094,26.40509953690484,145.76454162597656,34.43870544433594,0.45157682702134794,66.23960435390472,2,-18.0,90.0
lab,lab_person_3_cleaned.csv,48.7710177898407,31.751121237576978,46.702906489372246,68.50812911987305,23.134154787204128,75.5399055480957,35.06394028663635,0.4089772085888724,59.1720849275589,2,-18.0,90.0
lab,lab_person_5_cleaned.csv,46.19375765323639,31.528210027860467,44.140809774398804,57.70926284790039,20.780210493088394,76.73940124511718,34.908291697502136,0.40686080636326855,57.3895201086998,2,-18.0,90.0
blinds,blinds_motion_1_cleaned.csv,60.62219440937042,31.28529228884987,47.69403636455536,57.401599884033196,23.667373936051792,72.38575592041015,20.07127106189728,0.4960232654504976,61.68383061885834,4,0.0,72.0
blinds,blinds_motion_2_cleaned.csv,65.29805511236191,34.68952366119586,49.82420802116394,70.25092315673828,25.686768888183643,79.33456573486328,19.380725920200348,0.4861272283400189,70.01223415136337,4,0.0,72.0
blinds,blinds_motion_3_cleaned.csv,60.18621772527695,29.68350308212438,48.16300570964813,59.582481384277344,25.005301410022163,69.47589416503907,18.86710673570633,0.47326024501879227,66.38831347227097,4,0.0,72.0
blinds,blinds_motion_4_cleaned.csv,61.88344061374664,46.87772187655559,50.07885992527008,85.60055541992188,25.115112578874452,128.39321899414062,20.372101664543152,0.4857973555673018,66.21076166629791,4,0.0,72.0
blinds,blinds_motion_5_cleaned.csv,64.02287036180496,29.81181284758304,46.429237723350525,55.88578224182129,24.057937685010344,74.58507537841797,18.767891824245453,0.46953255122131493,64.02287036180496,4,0.0,72.0
blinds,blinds_object_1_cleaned.csv,58.19178819656372,34.585259726362025,51.64200961589813,69.93238830566406,24.478523710466693,78.27210998535156,24.19618368148804,0.48909044065214946,58.71661901473999,2,-18.0,90.0
blinds,blinds_object_2_cleaned.csv,64.18122500181198,36.31722698776695,51.39199495315552,74.08384704589844,25.46435508654625,82.72481384277344,18.798495829105377,0.4762797052644784,64.2735168337822,4,0.0,72.0
blinds,blinds_object_3_cleaned.csv,64.18122500181198,36.31722698776695,51.39199495315552,74.08384704589844,25.46435508654625,82.72481384277344,18.798495829105377,0.4762797052644784,64.2735168337822,4,0.0,72.0
blinds,blinds_object_4_cleaned.csv,62.22716122865677,33.648980580660215,50.628238916397095,69.38034057617188,24.787488719016793,76.64003448486328,20.368491113185883,0.47783721047207917,62.65068203210831,4,0.0,72.0
blinds,blinds_object_5_cleaned.csv,61.88724935054779,33.54076560026233,54.82157766819,66.77177429199219,25.561214010743797,74.98828125,21.197709441185,0.5200355933239531,62.00070083141327,4,0.0,72.0
blinds,blinds_person_1_cleaned.csv,66.62978082895279,35.93956941920016,54.862600564956665,75.04916381835938,26.715955401971552,82.93672637939453,20.27435153722763,0.4644443379538104,66.69506579637527,4,0.0,72.0
blinds,blinds_person_2_cleaned.csv,67.4951046705246,36.261483184425806,57.08228945732117,73.60413360595703,27.914379118499294,82.63124084472656,19.42144930362701,0.5121665701797379,68.22373569011688,4,0.0,72.0
blinds,blinds_person_3_cleaned.csv,67.91422516107559,36.700466662174506,55.45864999294281,73.97963905334473,27.307997563110114,83.96665573120117,19.60885375738144,0.4925503737143034,67.91422516107559,4,0.0,72.0
blinds,blinds_person_4_cleaned.csv,66.87544137239456,32.37706349832447,55.70107400417328,68.82221221923828,27.060902895543723,78.16543426513672,19.36909407377243,0.5177277160700993,67.43561178445816,4,0.0,72.0
blinds,blinds_person_5_cleaned.csv,63.271504640579224,34.04523165411002,51.08293294906616,69.47454071044922,26.103867148259443,77.67718200683595,18.833279609680176,0.49729261398683045,65.80022871494293,4,0.0,72.0
